CountryCode,Country,Less Developed Country,Sub-Saharan African Country,Fragile State,African Country
ALB,Albania,Not LDC,Not SSA,Not Fragile State,Not Africa
DZA,Algeria,Not LDC,Not SSA,Not Fragile State,Africa
AGO,Angola,LDC,SSA,Fragile State,Africa
ARG,Argentina,Not LDC,Not SSA,Not Fragile State,Not Africa
ABW,Aruba,Not LDC,Not SSA,Not Fragile State,Not Africa
BHR,Bahrain,Not LDC,Not SSA,Not Fragile State,Not Africa
BGD,Bangladesh,LDC,Not SSA,Fragile State,Not Africa
BLR,Belarus,Not LDC,Not SSA,Not Fragile State,Not Africa
BEN,Benin,LDC,SSA,Not Fragile State,Africa
BEL,Belgium,Not LDC,Not SSA,Not Fragile State,Not Africa
BMU,Bermuda,Not LDC,Not SSA,Not Fragile State,Not Africa
BIH,Bosnia and Herzegovina,Not LDC,Not SSA,Not Fragile State,Not Africa
BRA,Brazil,Not LDC,Not SSA,Not Fragile State,Not Africa
BRN,Brunei Darussalam,Not LDC,Not SSA,Not Fragile State,Not Africa
BGR,Bulgaria,Not LDC,Not SSA,Not Fragile State,Not Africa
KHM,Cambodia,LDC,Not SSA,Fragile State,Not Africa
CMR,Cameroon,Not LDC,SSA,Fragile State,Africa
CYM,Cayman Islands,Not LDC,Not SSA,Not Fragile State,Not Africa
CHE,Switzerland,Not LDC,Not SSA,Not Fragile State,Not Africa
CHL,Chile,Not LDC,Not SSA,Not Fragile State,Not Africa
CHN,China (People's Republic of),Not LDC,Not SSA,Not Fragile State,Not Africa
,Chinese Taipei,Not LDC,Not SSA,Not Fragile State,Not Africa
COL,Colombia,Not LDC,Not SSA,Not Fragile State,Not Africa
COD,Democratic Republic of the Congo,LDC,SSA,Fragile State,Africa
COG,Congo,Not LDC,SSA,Fragile State,Africa
CRI,Costa Rica,Not LDC,Not SSA,Not Fragile State,Not Africa
CIV,Côte d'Ivoire,Not LDC,SSA,Fragile State,Africa
HRV,Croatia,Not LDC,Not SSA,Not Fragile State,Not Africa
CYP,Cyprus,Not LDC,Not SSA,Not Fragile State,Not Africa
CZE,Czech Republic,Not LDC,Not SSA,Not Fragile State,Not Africa
DJI,Djibouti,LDC,Not SSA,Not Fragile State,Africa
,East African Community,Not LDC,Not SSA,Not Fragile State,Africa
DNK,Denmark,Not LDC,Not SSA,Not Fragile State,Not Africa
ECU,Ecuador,Not LDC,Not SSA,Not Fragile State,Not Africa
EGY,Egypt,Not LDC,Not SSA,Fragile State,Africa
SLV,El Salvador,Not LDC,Not SSA,Not Fragile State,Not Africa
GNQ,Equatorial Guinea,Not LDC,SSA,Not Fragile State,Africa
GBR,United Kingdom of Great Britain and Northern Ireland,Not LDC,Not SSA,Not Fragile State,Not Africa
ERI,Eritrea,LDC,SSA,Fragile State,Africa
ESP,Spain,Not LDC,Not SSA,Not Fragile State,Not Africa
EST,Estonia,Not LDC,Not SSA,Not Fragile State,Not Africa
PYF,French Polynesia,Not LDC,Not SSA,Not Fragile State,Not Africa
GAB,Gabon,Not LDC,SSA,Not Fragile State,Africa
GMB,Gambia,LDC,SSA,Fragile State,Africa
GEO,Georgia,Not LDC,Not SSA,Not Fragile State,Not Africa
GHA,Ghana,Not LDC,SSA,Not Fragile State,Africa
GIB,Gibraltar,Not LDC,Not SSA,Not Fragile State,Not Africa
GTM,Guatemala,Not LDC,Not SSA,Fragile State,Not Africa
GIN,Guinea,LDC,SSA,Fragile State,Africa
GRC,Greece,Not LDC,Not SSA,Not Fragile State,Not Africa
HND,Honduras,Not LDC,Not SSA,Fragile State,Not Africa
HKG,"Hong Kong, China",Not LDC,Not SSA,Not Fragile State,Not Africa
HUN,Hungary,Not LDC,Not SSA,Not Fragile State,Not Africa
IND,India,Not LDC,Not SSA,Not Fragile State,Not Africa
IDN,Indonesia,Not LDC,Not SSA,Not Fragile State,Not Africa
,Indus Basin,Not LDC,Not SSA,Not Fragile State,Not Africa
IRN,Iran,Not LDC,Not SSA,Not Fragile State,Not Africa
IRQ,Iraq,Not LDC,Not SSA,Fragile State,Not Africa
ITA,Italy,Not LDC,Not SSA,Not Fragile State,Not Africa
ISR,Israel,Not LDC,Not SSA,Not Fragile State,Not Africa
JOR,Jordan,Not LDC,Not SSA,Not Fragile State,Not Africa
KEN,Kenya,Not LDC,SSA,Fragile State,Africa
PRK,Democratic People's Republic of Korea,Not LDC,Not SSA,Fragile State,Not Africa
,Korea,Not LDC,Not SSA,Not Fragile State,Not Africa
KWT,Kuwait,Not LDC,Not SSA,Not Fragile State,Not Africa
LVA,Latvia,Not LDC,Not SSA,Not Fragile State,Not Africa
